City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,katsuura,35.1333,140.3,25.51,94,95,3.13,JP,1722973276
119,vanimo,-2.6741,141.3028,24.85,91,100,2.7,PG,1722973277
120,harper,4.375,-7.7169,24.02,81,100,4.85,LR,1722973277
121,rocky mountain house,52.3668,-114.9188,14.06,88,100,1.54,CA,1722973277
122,lompoc,34.6391,-120.4579,35.08,42,2,3.28,US,1722973277
123,sao joao da barra,-21.6403,-41.0511,27.05,84,0,8.24,BR,1722973277
124,hasaki,35.7333,140.8333,26.27,92,7,3.82,JP,1722973277
125,kapa'a,22.0752,-159.319,28.99,71,0,5.14,US,1722973277
126,iskateley,67.6803,53.1512,6.17,84,8,3.65,RU,1722973277
127,tolanaro,-25.0319,46.9987,22.04,83,75,5.14,MG,1722973277
128,hermanus,-34.4187,19.2345,10.45,87,0,0.15,ZA,1722973277
129,vanino,49.0869,140.2543,17.36,97,2,1.24,RU,1722973277
130,ji'an,27.1172,114.9793,25.74,84,7,1.79,CN,1722973277
131,pandan,14.0453,124.1694,26.77,87,75,4.48,PH,1722973277
132,komsomol'skiy,43.9783,46.6985,25.37,58,0,2.43,RU,1722973277
133,dudinka,69.4058,86.1778,6.85,70,0,8.65,RU,1722973277
134,sangod,24.9167,76.2833,25.98,88,100,6.08,IN,1722973277
135,rundu,-17.9333,19.7667,18.59,18,0,1.84,NA,1722973277
136,zaozersk,69.4005,32.4476,11.68,70,8,0.52,RU,1722973278
137,bridgewater,44.3835,-64.5155,19.23,90,100,0.51,CA,1722973278
138,kayangel,8.0823,134.7173,28.67,76,100,4.51,PW,1722973278
139,haiku-pauwela,20.9219,-156.3051,27.87,70,0,8.23,US,1722973278
140,puerto natales,-51.7236,-72.4875,-0.75,80,75,1.54,CL,1722973068
141,bel ombre,-4.6167,55.4167,25.91,83,20,3.6,SC,1722973278
142,yangshuo,24.7808,110.4897,25.81,88,48,0.67,CN,1722973278
143,progreso,21.2833,-89.6667,36.17,63,100,6.31,MX,1722973278
144,kodiak,57.79,-152.4072,12.73,100,100,5.14,US,1722973278
145,palmer,42.1584,-72.3287,22.12,78,100,2.06,US,1722972992
146,margaret river,-33.95,115.0667,15.43,74,96,9.53,AU,1722973278
147,pangody,65.85,74.4859,6.63,80,0,4.67,RU,1722973278
148,palestine,31.9216,35.2033,22.74,68,0,1.73,PS,1722973278
149,new norfolk,-42.7826,147.0587,11.62,72,84,3.86,AU,1722973279
150,ilulissat,69.2167,-51.1,9.01,76,20,1.54,GL,1722973279
151,polyarnyy,69.1989,33.4478,13.65,54,5,4.42,RU,1722973279
152,egersund,58.4513,5.9997,20.6,82,100,8.11,NO,1722973279
153,illizi,26.4833,8.4667,35.89,11,0,4.35,DZ,1722973279
154,vylkove,45.4021,29.586,16.76,93,100,2.76,UA,1722973279
155,ancud,-41.8697,-73.8203,8.41,73,54,3.81,CL,1722973279
156,saipan,15.1355,145.701,27.39,94,0,1.54,MP,1722973279
157,monrovia,6.3005,-10.7969,24.87,82,99,4.63,LR,1722973279
158,keflavik,64.0049,-22.5624,13.95,82,0,3.6,IS,1722973279
159,antalaha,-14.9003,50.2788,19.1,86,7,2.9,MG,1722973279
160,mchinji,-13.7984,32.8802,16.32,36,0,1.31,MW,1722973279
161,mildura,-34.2,142.15,6.74,81,0,3.56,AU,1722973279
162,beylikova,39.6869,31.2056,22.07,48,0,2.89,TR,1722973279
163,ola,59.5833,151.2833,9.88,93,100,1.69,RU,1722973279
164,banyo,6.75,11.8167,18.25,96,94,1.2,CM,1722973279
165,midvagur,62.0511,-7.1939,12.46,87,100,7.72,FO,1722973280
166,chernyshevskiy,63.0128,112.4714,8.03,75,89,1.73,RU,1722973280
167,shihezi,44.3,86.0333,27.51,29,100,0.53,CN,1722973280
168,maloye ganyushkino,46.6,49.2667,29.16,36,84,5.7,KZ,1722973280
169,brisas de zicatela,15.8369,-97.0419,30.58,65,100,3.63,MX,1722973280
170,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1722973280
171,monaghan,54.25,-6.9667,16.33,90,40,5.13,IE,1722973280
172,laguna,38.421,-121.4238,37.02,29,0,2.06,US,1722973023
173,okhotsk,59.3833,143.3,10.08,88,100,4.72,RU,1722973280
174,glace bay,46.1969,-59.957,21.66,70,100,4.63,CA,1722973280
175,constantia,44.1833,28.65,19.38,88,27,5.96,RO,1722973280
176,paradip garh,20.3167,86.6167,27.16,86,100,3.22,IN,1722973280
177,kone,-21.0595,164.8658,17.54,74,46,1.91,NC,1722973280
178,sitka,57.0531,-135.33,13.94,88,100,1.54,US,1722973280
179,colac,-38.3333,143.5833,9.91,96,100,2.98,AU,1722973280
180,kapoeta,4.7717,33.5903,23.02,79,100,1.47,SS,1722973280
181,whakatane,-37.9585,176.9854,4.87,99,25,1.71,NZ,1722973280
182,solnechnyy,50.7214,136.6319,19.8,90,100,1.32,RU,1722973280
183,hithadhoo,-0.6,73.0833,28.17,72,21,0.98,MV,1722973280
